"","id","catholic","race_white","race_black","race_hispanic","race_asian","places_lived","m_age","f_age","f_ed","m_ed","m_prestige","f_prestige","fam_income","poverty","fstamp","math_score"
"239","0029004C",0,1,0,0,0,2,49,46,0,0,61.56,35.63,62500.5,0,0,60.809
"240","0029007C",0,1,0,0,0,1,43,48,1,0,38.18,39.2,62500.5,0,0,52.975
"241","0029009C",0,1,0,0,0,1,38,42,0,0,35.78,39.2,27500.5,0,0,62.614
"242","0029012C",0,1,0,0,0,1,42,46,0,0,63.43,64.89,150000.5,0,0,61.758
"243","0029013C",0,1,0,0,0,1,38,41,0,1,35.78,35.78,150000.5,0,0,48.06
"244","0029014C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.625
"245","0029016C",0,1,0,0,0,1,35,NA,NA,0,53.5,NA,62500.5,0,0,58.581
"246","0029020C",0,1,0,0,0,1,42,41,0,0,53.5,48.69,150000.5,0,0,71.778
"247","0029021C",0,1,0,0,0,1,27,41,0,0,53.5,35.78,87500.5,0,0,48.332
"248","0029022C",0,1,0,0,0,1,35,36,1,1,33.42,37.67,62500.5,0,0,35.151
"249","0032002C",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.27
"250","0032006C",0,0,0,1,0,1,37,39,0,0,34.95,34.95,32500.5,0,0,52.725
"251","0032008C",0,1,0,0,0,1,41,43,0,0,53.5,35.78,150000.5,0,0,57.452
"252","0032011C",0,1,0,0,0,1,NA,43,1,NA,NA,39.18,7500.5,1,1,42.438
"253","0032013C",0,1,0,0,0,1,29,25,1,1,35.78,35.78,37500.5,0,0,47.213
"254","0032016C",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.989
"255","0032017C",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.698
"256","0032019C",0,1,0,0,0,1,32,NA,NA,1,34.95,NA,7500.5,1,0,54.188
"257","0032022C",0,1,0,0,0,1,30,31,1,1,34.95,35.92,62500.5,0,0,42.1
"258","0032024C",0,1,0,0,0,1,44,41,1,1,35.78,39.2,62500.5,0,0,52.062
"259","0033001C",0,0,0,1,0,1,35,36,0,0,53.5,48.69,150000.5,0,0,44.743
"260","0033003C",0,1,0,0,0,1,41,43,0,0,61.56,53.5,150000.5,0,0,50.695
"261","0033005C",0,1,0,0,0,1,45,50,1,0,38.18,34.95,45000.5,0,0,51.682
"262","0033006C",0,1,0,0,0,1,39,41,0,0,38.18,35.78,150000.5,0,0,53.912
"263","0033007C",0,1,0,0,0,1,27,29,0,1,38.18,39.2,87500.5,0,0,40.803
"264","0033008C",0,1,0,0,0,1,34,41,0,1,NA,53.5,87500.5,0,0,56.153
"265","0033009C",0,1,0,0,0,1,44,45,0,0,38.18,53.5,150000.5,0,0,53.587
"266","0033011C",0,1,0,0,0,1,47,NA,NA,1,35.78,NA,87500.5,0,0,62.881
"267","0033012C",0,1,0,0,0,1,35,39,1,1,NA,39.2,45000.5,0,0,49.45
"268","0033013C",0,0,0,1,0,1,33,35,1,1,34.95,33.42,27500.5,0,0,46.158
"269","0033014C",0,1,0,0,0,1,37,NA,NA,1,35.78,NA,27500.5,0,0,48.169
"270","0033015C",0,1,0,0,0,1,41,42,0,0,59,33.42,150000.5,0,0,62.941
"271","0033016C",0,1,0,0,0,2,38,47,0,0,38.18,63.43,150000.5,0,0,57.573
"272","0033017C",0,1,0,0,0,1,42,46,1,0,61.56,34.95,87500.5,0,0,49.521
"273","0033018C",0,1,0,0,0,1,45,50,0,0,38.18,53.5,87500.5,0,0,62.858
"274","0033020C",0,1,0,0,0,1,44,50,0,0,38.18,53.5,37500.5,0,0,66.707
"275","0033021C",0,1,0,0,0,1,39,38,0,1,NA,53.5,62500.5,0,0,64.449
"276","0033022C",0,1,0,0,0,1,43,42,1,1,38.18,35.92,62500.5,0,0,35.518
"277","0033024C",0,1,0,0,0,1,42,41,0,0,38.18,39.18,87500.5,0,0,53.048
"278","0034002C",0,0,0,0,1,1,41,43,1,1,34.95,34.95,22500.5,0,0,48.805
"279","0034003C",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.379
"280","0034005C",0,0,0,0,1,1,35,41,1,1,34.95,34.95,62500.5,0,0,45.39
